"businessId" "UMMR"
"1" "--5jkZ3-nUPZxUvtcbr8Uw" 0.80896145711132
"2" "--BlvDO_RG2yElKu9XA1_g" 0.540566529394346
"3" "--qeSYxyn62mMjWvznNTdg" 0.183237367175726
"4" "-0D_CYhlD2ILkmLR0pBmnA" 0.239575797190315
"5" "-0QBrNvhrPQCaeo7mTo0zQ" 0.0377770496978358
"6" "-0bUDim5OGuv8R0Qqq6J4A" 0.392035085477026
"7" "-0xwm_AwS0d_5rwUprHGuw" 0.479283241091299
"8" "-1bOb2izeJBZjHC7NWxiPA" 0.44401001292222
"9" "-1qDklczWpxON-3_Nj9NgA" 0.342175156093771
"10" "-2_O3_WKgO5In5XO5extNQ" 0.555373596253807
"11" "-2xCV0XGD9NxfWaVwA1-DQ" 0.771153332258615
"12" "-3WVw1TNQbPBzaKCaQQ1AQ" 0.356850729634327
"13" "-3frEL8Vo8kyq4kfgTn0GA" 0.426345443423639
"14" "-3jSU7oWrDqRgV68TWtlOg" 0.174658951589241
"15" "-4A5xmN21zi_TXnUESauUQ" 0.735539234839285
"16" "-4BtfPW3_v092G8pqHrv4w" 0.0872817680700613
"17" "-5XAZC1hC6G0NDkmPyhmUg" 0.272434585245469
"18" "-5rFC4EVrT-v8g1PSEf6Xg" 0.637735089020413
"19" "-6Roo-EHgSdUa4rP3tWyRw" 0.322497063748232
"20" "-73hx2hut_2KPcGpCTO5YA" 0.417664621828958
"21" "-7smFzvh2E2fOOYs-0Dl8w" 0.475419805235904
"22" "-8vrk9UzM2oIey95PZOHuA" 0.42322093435769
"23" "-8wyZkzfBmCFkMwCGcR4PQ" 0.0786582441402119
"24" "-92fePI5W6MwOaxMxphFjA" 0.288346635434248
"25" "-98noPZy1sH6NndWmdtuDw" 0.363815376663625
"26" "-AAig9FG0s8gYE4f8GfowQ" 0.424239251004026
"27" "-Bb1Xwd677TBSIPjw4x7oA" 0.193123346494128
"28" "-CYr479M7Y49UqIPwFcjEg" 0.94617270297192
"29" "-E6XYf1ce1NCtV3QQI-3xA" 0.641328400447884
"30" "-GPiLRLH0MWH6Pjs0WDglg" 0.738725100386356
"31" "-GYx5GAx_-4XEsn7mFwdkA" 0.409905620026561
"32" "-Gse8l_ec33gkWgotCLsew" 0.665017827053648
"33" "-HnNSLlmNbesJ7NF5CmgFg" 0.149759720435911
"34" "-I3Cu9rLQXtL5us5wdy8tA" 0.705281292376963
"35" "-IEBe1UpCz8-dTAp8_fClw" 0.224665396113642
"36" "-J0jhpG0rv4saq9OMh8gXw" 0.57749449252412
"37" "-JL0CWSLkkzFHZXlctnf8A" 0.347024492015276
"38" "-JpZiiGPKOuCEiODGNyovw" 0.606150441689833
"39" "-KEU36ohRQb19mrbA65Y3Q" 0.845845897274777
"40" "-KF9RQPkmIOHfE0tzUu9bg" 0.625449435570188
"41" "-KSjEAnm5w8TBdRVLVwi9Q" 0.428996652674663
"42" "-KzyOiFK4SM9I1vmuTSsuA" 0.417001930555844
